X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,150-255-0,150-255-0,X,X,X,X,X,X,X
X,X,X,X,X,X,X,150-255-0,150-255-0,X,X,X,X,X,X,X
X,X,X,X,X,X,150-255-0,150-255-0,150-255-0,150-255-0,X,X,X,X,X,X
X,X,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,X,X
X,X,X,X,150-255-0,150-255-0,X,X,X,X,150-255-0,150-255-0,X,X,X,X
X,X,X,X,150-255-0,X,X,X,X,X,X,150-255-0,X,X,X,X
X,X,X,X,150-255-0,X,X,X,X,X,X,150-255-0,X,X,X,X
X,X,X,150-255-0,150-255-0,X,X,X,X,X,X,150-255-0,150-255-0,X,X,X
X,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,X,X,X,X,150-255-0,150-255-0,150-255-0,150-255-0,150-255-0,X
X,150-255-0,X,X,X,X,X,X,X,X,X,X,X,X,150-255-0,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
